Series Name;Series Code;Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
School enrollment, secondary (% gross);SE.SEC.ENRR;Afghanistan;AFG;11,03954983;17,18361092;..;17,41691017;23,46858025;23,05451965;..;..;..;..;..;14,04041004;..;13,95952988;19,21438026;20,27350998;29,52388954;28,81549072;38,93085098;44,29994965;50,44062042;52,44742966;54,37285995;54,88336945;54,29365158;53,15010834;53,43503952;55,53643036;57,35784912;..;..
School enrollment, secondary (% gross);SE.SEC.ENRR;Albania;ALB;90,84118652;93,70768738;80,46373749;72,51608276;70,49767303;70,05426788;68,99009705;69,05905151;70,32785797;70,40110016;70,31864929;72,48457336;74,53891754;77,75182343;78,98018646;82,97142792;84,32576752;86,21885681;87,83383942;89,3157196;93,68182373;95,47052765;97,60861206;102,9032095;103,3213775;102,4407293;99,17075505;97,57436975;98,82238786;99,01515357;95,92944745
School enrollment, secondary (% gross);SE.SEC.ENRR;Algeria;DZA;60,61587906;59,82027054;60,10124969;59,96519852;60,48006821;59,50765991;58,93128967;58,74243927;..;64,74559784;64,59542084;68,76329803;72,58306885;75,43586731;79,62985992;81,85636902;83,48119354;73,51782227;80,23114014;96,39295959;100,7397766;103,1842728;..;..;..;..;..;..;..;..;..
School enrollment, secondary (% gross);SE.SEC.ENRR;American Samoa;ASM;90,3997879;92,40538788;93,45818329;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
School enrollment, secondary (% gross);SE.SEC.ENRR;Andorra;AND;..;..;..;..;..;..;..;..;..;..;..;..;82,29112244;82,70326233;79,48153687;85,78971863;85,00331879;82,44818878;82,18096161;82,64357758;85,14788818;85,85878754;86,87036133;86,40440369;88,97815704;91,29621887;94,65241241;95,10903931;95,9804306;96,20812988;97,15003967
School enrollment, secondary (% gross);SE.SEC.ENRR;Angola;AGO;9,642069817;10,17319965;11,44104958;..;..;..;..;..;11,89748001;11,77089024;13,36907005;15,00133991;16,14959908;..;..;..;..;..;22,79902077;24,33201981;28,21080388;29,68695178;..;..;..;..;54,41679873;..;..;..;..
School enrollment, secondary (% gross);SE.SEC.ENRR;Antigua and Barbuda;ATG;..;..;98,36755371;..;..;..;..;..;..;..;80,20674896;..;..;..;..;..;..;112,227951;122,2615814;118,6823883;115,4667435;116,1853714;117,228363;..;115,2704391;117,5577011;..;117,2099304;121,6852493;..;..
School enrollment, secondary (% gross);SE.SEC.ENRR;Argentina;ARG;72,95556641;74,13126373;..;..;70,86775208;..;78,49260712;74,47727966;80,65203094;92,29046631;96,21411896;97,62404633;96,99656677;96,04644775;95,45755768;93,63767242;92,40757751;92,18740845;93,18321991;96,4056778;99,07099915;100,8845596;102,7099915;104,540863;106,0389023;107,5048676;109,5983276;110,3778;109,6712418;110,4601517;112,3767319
School enrollment, secondary (% gross);SE.SEC.ENRR;Armenia;ARM;..;92,28215027;89,998703;91,99806213;91,673172;..;82,20404816;80,22122192;68,45253754;71,05474091;86,05120087;86,78330994;..;..;88,65116119;92,05634308;95,26764679;96,81826019;96,53294373;102,9577637;107,7323914;94,87740326;..;86,87219238;86,520401;86,44213867;..;..;83,02494108;86,8260633;88,50802982
School enrollment, secondary (% gross);SE.SEC.ENRR;Aruba;ABW;..;..;..;..;..;..;..;..;..;93,47396851;91,5802002;97,55653381;100,163063;101,9290695;100,9409409;99,20535278;99,86575317;106,2364731;97,06275177;97,99762726;98,22074127;96,63391876;108,9761887;..;..;..;..;..;137,8297882;139,3205872;135,1247253
