Country Name;Country Code;Series Name;Series Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Afghanistan;AFG;Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;11,5
Albania;ALB;Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;30,36094681;7,603111096;5,656684102;13,67613745;18,8965849;16,42712398;21,14751527;19,75878077;22,7895726;24,27151096;34,04013922;38,22804532;38,57533582;36,72212843;36,33194723;38,38438925;37,33895647;35,66887586;33,30567077;32,4404588;32,49262263;33,83760915;29,71502789;29,05663789;28,30478228;27,81346484;26,81434601;27,65759319;27,12529941;25,28752561;26,21834725
Algeria;DZA;Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;28,58942067;31,8413271;30,75748942;29,09090811;30,08014286;30,90855624;25,67841426;22,44697253;27,14848166;26,24768467;23,5639069;29,40251857;32,42214978;32,08082139;32,85144764;31,17507551;30,36211976;33,57154599;35,53693342;46,0669131;43,28682748;39,75382221;40,2823787;44,58201084;46,89847934;51,77961256;51,64151429;48,26759226;46,4568595;44,62956179;42,94935768
American Samoa;ASM;Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Andorra;AND;Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Angola;AGO;Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;0;..;..;..;..;..;..;..;..;..;..;..;29,77416691;29,80695527;32,70333433;28,0139949;24,12852156;26,87232068;31,04766428;42,11266299;29,76383279;27,36624545;27,9685614;26,99376305;28,87347819;29,10860959;30,13429348;29,18294321;24,20024902;24,6757736;19,64395623
Antigua and Barbuda;ATG;Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Argentina;ARG;Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;13,99698158;14,6369774;16,70240577;19,68811042;19,96562325;18,50041051;19,62387245;20,82605155;20,97076915;17,86292788;17,53348744;15,62596533;10,85390524;14,1469621;17,55127036;18,88826414;18,68048724;20,0991132;19,57277588;16,05311236;17,70553381;18,39845892;16,50198653;17,3057789;17,26288101;17,07070488;17,66322786;18,21256717;16,61388502;14,2100304;14,41515574
Armenia;ARM;Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;47,14768436;39,77914418;1,631258261;9,872203034;27,94215793;20,80856934;21,09544717;23,26567929;22,68635187;20,76888047;21,9223314;22,90435529;25,41829676;28,34794998;29,1225577;35,76543899;42,22545768;44,35162298;47,94283582;41,1450508;38,81475499;31,92179898;24,68095275;22,15249007;21,28304069;20,73053013;18,01550867;18,42174021;22,39973933;17,40852941;19,66383294
Aruba;ABW;Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;..;..;..;..;..;31,13367174;28,46153846;30,23340627;31,70077155;30,8690013;25,49411358;23,99917753;26,62997978;28,88170409;28,45139188;33,1604422;34,51912965;31,74665104;32,10305572;29,64217978;28,28317971;27,41663716;23,52250683;23,8258599;23,111441;21,53886707;20,57495715;20,55117149;22,40171844;22,61545118;23,94928059
Australia;AUS;Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;28,90354135;24,18693225;22,31436155;23,56917419;24,23654892;25,9545428;24,75032419;24,81718571;25,60003931;26,09930376;26,20423805;23,34811023;24,3675142;25,89390933;27,02043165;27,41274961;27,45745819;27,45074497;28,54019241;27,27624722;26,69769326;26,38244492;27,62334662;27,75707739;26,61112346;26,16693658;25,34839024;24,07988245;24,55464758;23,2971816;22,34493008
Austria;AUT;Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;27,02913658;27,24002453;26,53636938;25,56764886;26,41421872;27,10400163;26,49224546;26,38342182;26,24998457;26,27331693;25,94007871;25,42612455;23,77796674;24,45620507;24,20367257;23,96532348;23,82927048;24,73352593;24,70476239;23,0148012;22,85928124;24,35216004;24,25588272;23,94130479;23,84866903;24,01212669;24,45717072;24,97806184;25,89827622;25,5090081;25,65307375
Azerbaijan;AZE;Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;26,53478854;3,106287425;-0,692931682;21,79745223;15,31305044;23,77917331;29,00168338;34,23677295;33,36627332;26,49466239;20,67357623;20,67687561;34,57649485;53,17148254;57,99043399;41,53483729;29,85938484;21,52500837;18,69363085;18,9486398;18,05957848;20,26784686;22,3167232;25,65793544;27,51003574;27,91357117;25,68133825;24,3789257;20,1294761;20,30777985;23,66595433
Bahamas, The;BHS;Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;29,41471889;29,35689582;27,86137022;23,33958603;25,86069346;27,65500146;30,49376559;29,07920586;32,11223991;28,75243855;30,18521706;26,87359564;24,20854933;24,27371086;23,19086412;27,3367764;33,51643758;30,51041877;29,45563367;28,05360871;27,98600601;30,18335824;31,3421141;29,19725449;31,39930515;24,61140772;25,78087519;27,55625899;25,63888542;25,38449951;23,07105913
Bahrain;BHR;Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;14,44942756;25,15212628;25,87090424;16,09777661;17,2666143;12,84766263;12,66889933;15,34354077;18,84050373;6,952333137;16,57505906;15,7093969;23,34773062;23,73581036;20,51993544;26,73527374;30,38795365;34,71326042;34,94812409;26,14469719;28,598356;22,49793295;28,31788182;26,20234762;26,94607736;25,62493008;27,88569883;33,54523372;35,5603271;35,62385718;37,29566715
Bangladesh;BGD;Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;16,45867552;16,89594746;17,30502928;17,94683201;18,40255619;19,11979582;20,7299506;21,81621451;22,12141282;22,7213703;23,80856257;24,17430673;24,34141614;24,67918886;24,99183394;25,83043551;26,14414575;26,17849707;26,2022714;26,20605702;26,24665618;27,42097337;28,26233501;28,38962075;28,57787571;28,88668925;30,23976392;30,94687312;31,82257477;32,21373311;31,30794134
Barbados;BRB;Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Belarus;BLR;Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;26,55889145;33,33333333;31,52173913;41,01522843;32,93430001;24,74980025;23,519201;26,83695445;26,71196492;23,70676892;25,39867306;23,76085994;22,17685159;24,95432766;28,66730144;28,4604662;32,18413716;34,09190318;37,64165103;36,86404446;40,65636626;37,21759508;35,09427306;38,79802621;34,84103294;29,03469599;26,4775827;28,03035891;28,07887855;29,14999469;27,45483593
Belgium;BEL;Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;24,34637344;22,84027614;22,59252526;21,93188944;22,01276848;21,79077206;21,63074679;22,30034159;22,34865908;22,68901182;23,7829613;22,6338255;20,74740198;20,96470771;22,66706017;23,6810632;23,97054911;24,60327415;25,93677033;22,02640575;22,39427446;24,47955804;23,58823607;22,70894537;23,25829598;23,32236763;24,1815766;24,33183313;25,55157676;24,67568223;24,06856785
Belize;BLZ;Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;22,05142705;24,20554429;22,99474453;24,97823378;18,30514305;19,46261881;18,1535872;17,80041162;16,62263588;21,33167112;26,20335792;21,96930297;20,63060648;17,70055002;16,68410701;17,77391877;17,24666231;17,29333616;21,02398074;16,22640587;15,45117166;11,87239388;13,07247702;14,12957734;17,09669746;16,72640834;17,97293536;15,05772269;16,53181513;16,83949042;18,44343234
Benin;BEN;Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;14,06035642;14,47804469;13,62110874;16,05813651;17,80221471;21,41976714;17,55116797;18,54485643;18,15515708;18,22709373;16,00840245;17,75272025;14,83372253;15,16379004;15,21860513;12,08604489;12,87346512;16,376868;13,74042066;14,86571873;15,60808921;16,46255728;15,27631274;18,86187235;19,25758563;20,73179209;20,2720396;23,96042223;26,38651302;25,62980058;25,63384351
