Series Name;Series Code;Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Afghanistan;AFG;..;..;..;..;..;..;..;..;..;..;..;..;1,276148807;0,731312589;0,458919792;0,393192771;0,504174403;0,44950057;0,601665825;0,424658196;0,625332613;0,83638966;0,684675469;0,603571665;0,5427565;0,469916949;0,617409905;0,702981729;0,855264249;0,682287828;0,305978172
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Albania;ALB;8,224029899;9,885753643;11,72883877;3,378501797;1,83861311;1,411994517;1,361529489;1,31616086;0,373020814;0,582819936;1,205806641;0,774294478;0,765808882;0,765831615;0,868821576;1,101150557;1,378902395;2,174050081;1,775404364;1,047503416;1,528168143;2,898498354;3,231452425;3,327990844;3,416900434;1,734861868;1,058481042;1,346042379;1,711116281;1,634973785;0,775369617
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Algeria;DZA;18,37737698;17,14419485;16,38745317;14,91240779;16,43384401;18,87711951;21,17192421;20,33273441;14,62708104;18,62330517;26,68689739;23,63094129;23,47093852;24,45232261;26,15731301;32,68003154;34,19132242;32,06007285;32,86509136;24,20225093;25,53832442;28,58128996;26,25251446;24,2231339;22,61230978;14,92525275;12,8191814;15,37239297;20,71720284;18,52367894;14,03437709
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;American Samoa;ASM;..;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Andorra;AND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Angola;AGO;29,10382706;17,96798031;28,47939824;36,66246848;43,63651301;44,21099663;41,36171668;39,45148916;24,26938077;40,80335432;59,14251036;44,21947659;32,88371598;28,40669695;33,77071701;42,76007427;40,7534429;45,88117608;52,56077296;30,31146614;38,16231011;39,0226785;34,73100763;29,40004523;22,12424763;13,30567489;20,88512027;25,95032991;32,0454056;28,89785906;20,24766539
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Antigua and Barbuda;ATG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Argentina;ARG;2,541333792;1,112169537;1,096887631;1,095340384;1,037616255;1,298073436;1,595984102;1,424732525;0,821860212;1,400564103;2,364145264;1,918540854;5,630902393;4,544052379;4,295220158;5,187273828;5,775609442;4,838615695;4,949379949;3,098346954;3,257095194;3,886504042;3,625647909;3,155587305;2,965616195;1,116774935;0,929681521;1,020566168;2,037125135;2,166688387;1,429624325
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Armenia;ARM;0;0;0,265019425;0,26948156;0,46429817;0,587001273;0,31544704;0,325824777;0,114669585;0,177492136;0,293454325;0,299938082;0,591149485;0,033234597;0,021722905;0,010257477;0,015802557;0,009295978;0,213475225;0,374259981;2,654662881;2,923458601;1,490134089;1,097153902;0,306948917;0,760031512;0,221817708;0,245815848;1,098661136;2,201001669;2,421905511
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Aruba;ABW;0,001552262;0,001633868;0,0013792;0,00092524;0,000937262;0,001166588;0,000819402;0,001002505;0,000848353;0,000717902;0,001662771;0,00141918;0,001371008;0,001452778;0,001583681;0,001972758;0,002449483;0,002436964;0,002872982;0,002041219;0,003870138;0,003809771;0,003407756;0,002451653;0,003235172;0,002387659;0,003343742;0,002827191;0,001884692;0,001680116;0,003037193
