Country Name;Country Code;Series Name;Series Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Afghanistan;AFG;Trade (% of GDP);NE.TRD.GNFS.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;46,70989455
Albania;ALB;Trade (% of GDP);NE.TRD.GNFS.ZS;39,4369634;36,07052006;108,7854722;80,51833277;53,10258474;40,13869895;44,41178201;44,72937806;47,1306267;49,89541841;61,60926104;64,24744626;65,99146503;64,8232151;65,03793832;69,11629266;72,20190895;79,91190089;75,24854728;73,32135756;75,53253297;80,69899853;76,96835832;75,75061856;75,02120231;71,27944766;74,01445045;76,78738179;75,69407837;75,38212893;59,52069944
Algeria;DZA;Trade (% of GDP);NE.TRD.GNFS.ZS;48,38071368;52,71758671;49,18908424;44,92281337;48,58443779;55,19100521;53,70514788;52,24391151;45,09445056;50,92910934;62,85834364;54,52964912;56,58960528;57,7691353;61,35799757;66,84046022;65,91529197;67,54547339;71,02849225;64,28475472;63,49121599;62,22008996;60,75763933;59,15100816;56,92354197;53,20462259;49,76093279;49,82081617;52,43616768;46,50684261;40,38975656
American Samoa;ASM;Trade (% of GDP);NE.TRD.GNFS.ZS;..;..;..;..;..;..;..;..;..;..;..;..;210,9375;207,4427481;202,3575639;223,2;229,8174442;218,1467181;249,8214286;161,3333333;157,9406632;157,5438596;176,40625;173,8244514;174,8055988;162,4071322;159,1654247;161,4379085;171,8309859;156,568779;154,368932
Andorra;AND;Trade (% of GDP);NE.TRD.GNFS.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Angola;AGO;Trade (% of GDP);NE.TRD.GNFS.ZS;..;..;..;..;..;..;..;..;..;..;..;..;90,57082097;90,68071618;90,38603847;95,34145929;84,62460412;97,2256307;108,6804087;102,2631833;90,99406314;89,03694434;81,93947855;77,34980137;69,58014245;54,97938088;47,01556614;45,66434235;58,91648008;60,71482433;54,34422868
Antigua and Barbuda;ATG;Trade (% of GDP);NE.TRD.GNFS.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;141,5461611;130,0715499;132,0259179;127,6643236;130,6551527;137,5377836;94,28952989
Argentina;ARG;Trade (% of GDP);NE.TRD.GNFS.ZS;14,990859;13,75305416;14,73098059;16,22315145;18,13434587;19,77142309;21,50646841;23,33617884;23,35002797;21,38274496;22,62244478;21,85225545;41,75272436;40,64474803;40,69264611;40,55127097;40,43347987;40,94517062;40,40267338;34,05712691;34,97101326;35,206155;30,52654237;29,333929;28,40679365;22,48622609;26,09388785;25,28960114;30,76253595;32,63061505;30,20369881
Armenia;ARM;Trade (% of GDP);NE.TRD.GNFS.ZS;81,33571855;100,8658552;101,0767594;107,9731463;112,4293646;86,11485707;79,22956012;78,54774505;71,84245188;70,56047914;72,23333023;69,86426639;73,98450184;80,0513676;73,07063399;70,13973858;61,03013798;56,97504709;54,54232796;57,27423574;64,64297597;69,43557366;75,96167596;77,55504816;75,77886696;71,68207434;76,07796746;87,20237654;92,47310702;97,84700487;70,12135714
Aruba;ABW;Trade (% of GDP);NE.TRD.GNFS.ZS;..;..;..;..;..;171,3620981;175,3441296;168,781911;163,2673599;164,5590143;145,0728795;140,3911086;133,2307714;132,7942913;132,4309298;145,0502801;141,0426267;139,9723095;139,1101498;137,5565759;135,4646547;154,4377869;156,6451972;155,7319044;156,4910528;140,4930011;136,8872633;138,7166201;138,8249722;137,9619293;122,723738
Australia;AUS;Trade (% of GDP);NE.TRD.GNFS.ZS;32,11002835;32,14569097;32,99817163;35,35027695;36,4066118;37,64687404;38,17402088;37,9217015;39,92406646;38,96024671;40,86312577;44,1337314;41,38131281;40,13480118;36,95051596;39,09788226;41,48789235;41,92974513;42,75222079;45,59361209;40,39050709;41,72198601;43,01984955;41,10051188;42,29930954;41,49475069;40,81340222;42,03541353;43,57322536;46,00168271;44,4995641
Austria;AUT;Trade (% of GDP);NE.TRD.GNFS.ZS;71,76948195;70,32385669;67,89610882;63,51382704;66,24657391;68,52500575;70,4693163;75,24447603;77,34952166;78,56293298;85,84260773;87,99625672;87,58449371;86,88222632;91,47422019;94,67475478;98,78572532;101,3649584;102,7437044;87,6004931;99,64488255;105,7750984;105,8407914;104,985374;104,49674;103,1175817;101,5734946;105,5560668;108,37797;108,2072849;99,94821411
Azerbaijan;AZE;Trade (% of GDP);NE.TRD.GNFS.ZS;83,08321965;86,86377246;140,7999834;133,4904459;55,34931946;85,89371075;80,84974017;82,07896653;77,2278091;69,82596488;78,54856828;78,81518549;92,81814433;107,5519485;121,5071159;115,8418846;105,2623998;96,64180815;89,24289686;74,74404168;74,98598846;80,50804501;78,26306954;74,67584476;69,4832252;72,60150791;90,07731873;90,40231568;91,67257654;85,81814541;72,01786765
Bahamas, The;BHS;Trade (% of GDP);NE.TRD.GNFS.ZS;110,1200253;106,1186181;101,4615632;103,3599612;104,4019638;104,4654418;105,856747;79,73488557;77,72616717;75,70273833;79,64494389;72,50088064;70,27798171;71,06354051;76,00198337;81,39627092;87,5507143;88,01281556;87,42922288;76,52104396;78,67560243;88,33368916;84,25152047;84,54841389;80,53702723;69,67797527;67,21292158;68,33428404;72,1542686;68,78662348;53,42075807
Bahrain;BHR;Trade (% of GDP);NE.TRD.GNFS.ZS;184,8288047;158,8677966;159,2918983;144,7630456;136,4734709;134,0867323;144,3334505;130,672449;113,001419;124,7357372;135,8091353;127,0262663;131,1336342;128,0915822;140,73731;148,3135251;147,1041811;137,7850506;145,8825111;117,9637254;115,5614864;167,529641;178,8240208;184,5895088;168,5758581;147,9160602;132,8229979;136,4292398;144,0753726;135,4175434;135,460985
Bangladesh;BGD;Trade (% of GDP);NE.TRD.GNFS.ZS;18,96650201;18,88982689;19,9340055;23,12158307;22,86586455;28,20949608;26,07608772;26,32551339;27,8800634;28,38794056;29,32171436;32,09801707;28,96738072;27,6578849;26,85823415;34,39693486;38,11192443;39,94238265;42,62091403;40,09279622;37,80284267;47,42084984;48,11092275;46,29640272;44,5140802;42,08599631;31,33415013;29,99973067;32,51463172;31,57805449;26,27144738
Barbados;BRB;Trade (% of GDP);NE.TRD.GNFS.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
