Country Name;Country Code;Series Name;Series Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Afghanistan;AFG;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;..;..;..;..;..;..;..;..;..;..;..;-10,11948411;22,02019027;2,345671636;-2,148212285;7,383377282;1,132485055;11,69230329;1,677279156;17,04389632;11,05503055;-3,213295006;8,279368993;2,052068261;-0,939984756;-1,665057447;-0,300121027;-0,195569548;-1,713742693;0,856294729;-5,382514642
Albania;ALB;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;-11,1879053;-27,56682083;-6,622551207;10,22994934;8,969761659;14,02449594;8,005513844;-11,15766053;8,993806823;12,96392688;8,149967935;9,890193571;4,942622963;5,728105981;5,707123084;5,67025028;6,689981397;7,307982629;7,730561614;3,385115395;3,485648086;2,739532557;2,554538669;3,288890315;3,830170229;3,817434471;5,524825981;4,889352881;5,283579496;3,649758085;-1,810165363
Algeria;DZA;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;-1,66808065;-3,527129476;-0,649140042;-4,427459048;-3,068508375;1,674745172;2,081849895;-0,767068614;3,43950504;1,776942418;2,35726435;1,595178144;4,007050315;5,093332127;3,050861482;3,868902142;1,326188949;1,393468337;0,652527944;-0,720420575;2,779219082;1,003992371;0,379563284;0,54874363;2,00005201;1,099620619;1,785940647;-0,541667024;-0,54601958;-0,939992962;-6,612475097
American Samoa;ASM;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;..;..;..;..;..;..;..;..;..;..;..;..;..;1,126789855;0,680220537;-0,05459527;-3,684976855;2,32559828;-2,160411774;-3,648909859;0,844681592;0,606612624;-3,622022585;-1,628013554;2,790612438;4,296623367;-0,488137584;-5,799364048;4,038507121;0,897584681;5,351787426
Andorra;AND;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;-0,119515605;-4,819169045;-4,994090166;-5,83663169;0,259838841;3,882959291;4,531978271;7,860678957;2,118367938;3,579454848;3,567765711;7,845168134;3,518284734;4,032707486;1,095400014;1,183027687;1,958830028;-1,289611512;-7,389298788;-5,746485459;1,889880843;3,749517536;-3,800754298;-1,443945404;4,529893817;3,630797937;3,699620468;-1,806057033;-0,302119304;0,265352821;-12,22383849
Angola;AGO;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;-6,670526973;-2,344652711;-8,871345191;-26,37419588;-1,893068011;11,22244903;9,768938152;3,692910151;1,245331726;-1,130798779;-0,302928309;0,769184668;9,857802363;-0,065437987;7,486046944;10,06735933;7,795575329;8,851635443;6,678885924;-1,809060093;1,315790766;-0,356512142;4,370087786;0,921826358;0,821220989;-2,804708184;-5,154029047;-3,622865017;-3,968524543;-3,529000125;-7,127614827
Antigua and Barbuda;ATG;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;3,434862982;1,659415325;-0,4388383;3,380941829;4,671924904;-6,247651182;4,425739623;3,33223171;2,765723601;1,942351959;4,437084458;-5,999921113;-0,235736725;4,916227666;4,645194678;5,280706903;11,31964083;7,843446933;-1,470768949;-13,28176806;-9,07945361;-3,108000747;2,273781331;-1,508467911;1,391205732;0,691094825;3,47228425;2,146187576;6,174489769;2,677613194;-19,29454628
Argentina;ARG;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;-3,911192293;7,575135073;6,453323571;6,752114948;4,427311622;-4,109935987;4,208050173;6,805821143;2,63654067;-4,493066552;-1,906841392;-5,452639033;-11,84231382;7,71839038;7,92951713;7,738981076;6,941851601;7,932610113;3,008568926;-6,910312115;8,968196729;4,881272528;-2,038325309;1,393512661;-3,51326421;1,660912538;-3,024500956;1,916396081;-3,415536839;-2,695067235;-10,33610969
Armenia;ARM;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;..;-13,21114999;-41,11376353;-5,669733605;8,179314214;8,743158122;6,796794519;4,353752932;8,56710544;4,640952317;4,130758874;9,917354754;13,62452653;14,61970149;11,11449019;14,56970188;13,8986537;14,42082449;7,602947751;-13,50884214;2,911586968;5,284375308;7,334704541;3,371783587;3,881876701;3,515995473;0,611877151;7,965446065;5,568501179;7,836084387;-7,168664527
Aruba;ABW;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;0,134479696;2,813434652;1,111855606;0,49219478;2,75152351;-0,292643138;-2,733864298;2,978396644;-0,487159558;-0,125965726;6,519223766;3,212405688;-1,628099152;-0,033839442;5,026911516;-2,930823494;-0,6732577;2,322677579;1,061772352;-12,27493628;-2,95695265;2,610525059;-2,484647977;4,855257957;0,351128428;2,55621874;0,469912651;3,485815493;3,048518448;0,951663646;-23,46627298
